NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1851643696,391895679,ein,ffs,CPT,99213,negotiated,198.6,professional
1700023330,274726247,ein,ffs,CPT,99213,negotiated,155.77,professional
1568811172,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1396715975,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1255821849,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1780607267,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1568492494,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1780943092,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1356301923,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1346418696,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1699743336,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1639351737,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1659357036,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1659336444,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1063489706,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1932291457,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1124206859,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1528025772,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1376561589,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1699117119,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1730571001,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1154864940,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1689642324,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1881661999,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1487875704,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1023539277,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1447494356,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1336408681,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1740542364,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1891185195,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1629045737,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1023262839,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1477870715,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1811389612,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1902251523,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1881662526,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1548808538,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1366419483,582296052,ein,ffs,CPT,99213,negotiated,89.52,professional
1205811643,412233347,ein,ffs,CPT,99213,negotiated,87.53,professional
1437166923,465043263,npi,ffs,CPT,99213,negotiated,93.34,professional
1801846860,252721483,npi,ffs,CPT,99213,negotiated,64.12,professional
1548231954,438250172,npi,ffs,CPT,99213,negotiated,90.03,professional
1669708525,333740040,npi,ffs,CPT,99213,negotiated,53.31,professional
1942316088,530245274,npi,ffs,CPT,99213,negotiated,41.95,professional
1770630808,471027980,npi,ffs,CPT,99213,negotiated,85.74,professional
1508910936,471027980,npi,ffs,CPT,99213,negotiated,85.74,professional
1568508158,471027980,npi,ffs,CPT,99213,negotiated,85.74,professional
1144293499,155503993,npi,ffs,CPT,99213,negotiated,141.91,professional
1720274012,263400528,ein,ffs,CPT,99213,negotiated,73.75,professional
1346561883,263400528,ein,ffs,CPT,99213,negotiated,73.75,professional
1033134424,263400528,ein,ffs,CPT,99213,negotiated,73.75,professional
1578749164,263400528,ein,ffs,CPT,99213,negotiated,73.75,professional
1821212390,463270422,ein,ffs,CPT,99213,negotiated,100.79,professional
1699724419,463270422,ein,ffs,CPT,99213,negotiated,100.79,professional
1457594400,462453627,ein,ffs,CPT,99213,negotiated,70.02,professional
1518953561,480905701,ein,ffs,CPT,99213,negotiated,162.46,professional
1720228778,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1144429317,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1902826340,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1407061708,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1558604876,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1851326557,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1770518128,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1992032577,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1528030525,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1619166675,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1518142124,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1881030997,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1053415364,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1679696793,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1932190246,260799572,ein,ffs,CPT,99213,negotiated,120.55,professional
1558546911,271597888,ein,ffs,CPT,99213,negotiated,150.63,professional
1851735856,383369438,ein,ffs,CPT,99213,negotiated,56.01,professional
1699969949,461807832,ein,ffs,CPT,99213,negotiated,197.92,professional
1326137126,232919472,ein,ffs,CPT,99213,negotiated,58.49,professional
1598742405,581962972,ein,ffs,CPT,99213,negotiated,143.93,professional
